participant_id,prolific_id,participant_hash,consent,age,gender,native_language,dominant_language,parent_language,other_languages,state
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,checked,33,female,english,english,english,No,Indiana
5afeea460437f000017e0c97,5afeea460437f000017e0c97,05cff05f554f3f1a3c1f3c487af5797e,checked,26,male,english,english,english,Basic spanish,California
5c2f7a01c5b00a0001f3e52f,5c2f7a01c5b00a0001f3e52f,6f90cc3d781d3f80f3508f445a3025ce,checked,33,female,english,english,english%2c portuguese,no,Florida
5c3144d37626080001a88836,5c3144d37626080001a88836,4a72b88db47050990ec6e066bd33863c,checked,35,female,english,english,english,No,Michigan
5cb4df991ac046000177a887,5cb4df991ac046000177a887,d921d5fbbafcfa550f4c3f169d522602,checked,31,male,english,english,english,No,Virginia
5cd063ce657e300016f6c95a,5cd063ce657e300016f6c95a,d7d5d5e68c42188a4fb95d823a5ba9a1,checked,34,non binary,english,english,english,No,Washington State
5d7085f70a426200186bc676,5d7085f70a426200186bc676,c519bde7f559bd329690ab7c26502e6b,checked,31,male,english,english,english,no,Georgia
5dd48b3a4b5dd44805f0cd60,5dd48b3a4b5dd44805f0cd60,95c873ebd70b98d4a4ced53041bd55e5,checked,35,female,english,english,english,None,Illinois
5dda154216d10c98f29d411f,5dda154216d10c98f29d411f,0894d12c6c5a58d0d1d879cfb7a583fd,checked,28,woman,english,english,english,No,Illinois
5eac968d6c144d2fd7fb1aa0,5eac968d6c144d2fd7fb1aa0,45c73f821cc2773f26f44f2f5debd4ab,checked,27,male,english,english,english,no,Illinois
60fd08400ed4ce2c2beacd62,60fd08400ed4ce2c2beacd62,75cb6f116de585353cd34f09abdb3952,checked,23,female,english,english,english,No,Texas
60feeb09b7d82ce1c4d2abd0,60feeb09b7d82ce1c4d2abd0,606e80292713739e7a95151681c873ae,checked,26,female,english,english,english,some spanish,michigan
6100c3f0a1cd16bb87069625,6100c3f0a1cd16bb87069625,a9f71373fd29639385e1905d238e58b4,checked,26,nonbinary,english,english,english,No,Maryland
610c83598db46d4d46de2c61,610c83598db46d4d46de2c61,97cc63a3a7f38a2b7a950ab9e5731c21,checked,27,woman,english,english,english and spanish,Not fluently,California
612e91f6654fd2227289c863,612e91f6654fd2227289c863,1082495489cb3baf38ce4e7f6593a60c,checked,35,male,english,english,english,No,Tennessee
633643465b40568290457617,633643465b40568290457617,8560250b05235d607b5667cd3c36f0a2,checked,34,male,english,english,english%2c spanish,No,Texas
63bdfe6a69fc4d15b3aec18d,63bdfe6a69fc4d15b3aec18d,a1a3a94af8b8b97e864b238755d73124,checked,33,man,english,english,english,No,Tennessee
65d863e56337aa59292ccd66,65d863e56337aa59292ccd66,fc91fad5d48c677f87661ae031d1a2fd,checked,34,woman,english,english,english,No,North Carolina
65e3c99ff63caa042aac8883,65e3c99ff63caa042aac8883,de5069a7938b3e2a1e59b9093b8f60db,checked,22,woman,english,english,english,no,Florida
65fa95fafeda35caf378b6f9,65fa95fafeda35caf378b6f9,ee051f16251642a992175c1bb0e116f5,checked,23,male,englishj,english,english,no,Washington
66046ee084b12b781cb49495,66046ee084b12b781cb49495,bdd4dca2df18d7db0bc7cc7926ff68e1,checked,30,%0amale,english,english,english,None,Ohio
66143f0bac2f0101e72b16ed,66143f0bac2f0101e72b16ed,b5e040cb3aa30ece7efffd0b5a00b001,checked,21,female,english,english,english,No,Florida
663e7e85449ebc055cb547f1,663e7e85449ebc055cb547f1,790eb641ea4bd4cc3db79e8b23b689e2,checked,32,male,english,english,english,no,new jersey
6640be7edc706d4622dbab1c,6640be7edc706d4622dbab1c,9aa3de57eb674bcb41ab4debcd80cdee,checked,25,female,english,english,english,no,louisiana
6645755c72f71662e832dfb8,6645755c72f71662e832dfb8,30e5db2828be72c97f5f7b49ca5d7689,checked,31,woman/female,english,english,english,No,Arizona
6646c6d3321a542d61cb0b98,6646c6d3321a542d61cb0b98,6e855d9b488842107f7bacac6bb5d185,checked,32,male,english,english,english,No,Massachusetts
66ad0fdfa69994bd8a10c6df,66ad0fdfa69994bd8a10c6df,f17a3e6be8f1e18707b4b184ec4fc021,checked,20,male,english,english,english,No,Georgia
66b260c888f10ca814891d8e,66b260c888f10ca814891d8e,611c2d39c81fe9e48f10a6a639ec63a2,checked,28,female,english,english,english,Conversational Spanish,Illinois
66bbf2c4d4525c88af539a38,66bbf2c4d4525c88af539a38,ad377a5f132e866348ec595b8b9d044a,checked,35,female,english,english,english,None,Texas
66cd3b6530dcf9fa284cefcd,66cd3b6530dcf9fa284cefcd,6e86dc67a9f9db7340af319d086c2d4d,checked,31,female,english,english,english,No,Pensylvania
66e8d83ca03bd9461c58bf5e,66e8d83ca03bd9461c58bf5e,64b19404a99c51d01fb8d86db4039730,checked,30,female,english,english,english,No,Louisiana
6717e8690ab1f9b7994d7faf,6717e8690ab1f9b7994d7faf,6df4044c98689968c077e44c79abadfe,checked,32,male,english,english,english%2c german,German%2C Welsh,Washington
6726e411b35afd65381ace5c,6726e411b35afd65381ace5c,8ed5d4999a7ea80580ebba337d6de361,checked,26,female,english,english,english,Spanish (beginner to intermediate),Michigan
672edcfc36facd5b8d65d53d,672edcfc36facd5b8d65d53d,c7f08cf6e2092c0e6a8d63c90760c016,checked,25,male,english,english,english,N/A,Texas
676cdf06a9a9208a2b1ed100,676cdf06a9a9208a2b1ed100,6a95ce88ee165aaad65ffdd79caf7290,checked,32,female,english,english,english,no,michigan
67720b01971068c3f4c6fa95,67720b01971068c3f4c6fa95,fe4a2071a5c6dd3bdf6935a3d6c36504,checked,32,male,english,english,english,No,Florida
677dc8b2a9160d395ca7e008,677dc8b2a9160d395ca7e008,a7919095b217d55203ee45330cf79f4c,checked,21,female,english,english,english,No,North Carolina
6792c21092dba48f9c45aab7,6792c21092dba48f9c45aab7,63affe93488711397c52e49897a263af,checked,27,male,english,english,english,No,Alabama
6933a234773555df88857a03,6933a234773555df88857a03,69e593fec1d2e041cd18cfc75fae21a2,checked,27,man,english,english,english,no,florida
693af2f894b19d613bb68646,693af2f894b19d613bb68646,7873bc9c8db20d701c1a92aab203a3fc,checked,32,male,english,english,english,No,Utah
6942c3b15e5b6ef0cde37525,6942c3b15e5b6ef0cde37525,f97828129352e7edea280e8889b8b045,checked,29,cisgender woman,english,english,english only,no,Georgia%2C USA
6945d3294c8cf5eefa76293a,6945d3294c8cf5eefa76293a,2d40f0f4873d599c4e997803e40761e3,checked,28,female,english,english,english,no,Tennessee
6966ca5700c83b5067e7dfb2,6966ca5700c83b5067e7dfb2,dcea1d7e4bcae574f8bfe3050f159def,checked,32,female,english,english,english,No,Florida
697153d6c5681c9ae12ecb48,697153d6c5681c9ae12ecb48,f94cbfef77209184b3fc52f512f95ec4,checked,32,female,english,english,english,no,ohio
6973f6f33d40940c2f1c766e,6973f6f33d40940c2f1c766e,c96a2bc14980cdfd088cb12a952ebaf4,checked,32,female,english,english,english,no,texas
697a9061e8ffac99c3015462,697a9061e8ffac99c3015462,64980b19ac83cff946d2221067ec65a9,checked,32,male,english,english,english,No.,Florida
6981fec55c5a0edbac5b4c6c,6981fec55c5a0edbac5b4c6c,ef7e40cab1359299998536838672152f,checked,32,female,english,english,english,no,missouri
69844a3889927027a36d1dde,69844a3889927027a36d1dde,13f69e17a3f81c6c00eb83fa21989111,checked,27,female,english,english,english,english,san francisco%2C ca
698d097c1c8d9dda3515892b,698d097c1c8d9dda3515892b,c4af85aa8a2f4246fb72c7bebbcbe8e1,checked,25,female,english,english,english,No,Texas
6993a8f8d63073ac0203d4f5,6993a8f8d63073ac0203d4f5,db6b08d9b8ed7d0aebbb8458d0a8b0be,checked,22,male,english,english,english,none,Kansas
699f442f09ed6c71f6435084,699f442f09ed6c71f6435084,85b6cce1cf639d6c0c2c519b6210c2f4,checked,26,female,english,english,english%2c arabic,No,Kentucky
699fb623252e75ff199bfcd1,699fb623252e75ff199bfcd1,2b488cea20f789b2330df7c9f800bac0,checked,27,female,english,english,english,No,Florida
69a4a5cdda0daf2f15c9949b,69a4a5cdda0daf2f15c9949b,b495c5c3d795e18db91f29c5f33e8e24,checked,22,male,english,english,english,No,Washington
69a89a5ff766614971ab08a2,69a89a5ff766614971ab08a2,541f8d807660a19aff18491738066964,checked,24,female,english,english,english,english only,california
69abe041e948d6ed20984a74,69abe041e948d6ed20984a74,6108eb18c08191744f81a6c87d9ceeaf,checked,34,male,english,english,english,no,Pennsylvania
69b33f8362ac2e0a6e0db8cf,69b33f8362ac2e0a6e0db8cf,8256b7b66eb0338d19a28a3b7a604def,checked,25,female,english,english,english,No,Missouri
69b8303c5de11af88f47f501,69b8303c5de11af88f47f501,a517fff82dc20bafa563f914008c0b24,checked,35,female,english,english,english,no,Massachusetts
69d93949b2d51b62dd2bc212,69d93949b2d51b62dd2bc212,8df6d507d729a23bb30ad0b308a6f516,checked,35,female,english,english,english,no,ga
69db00140fd9072aade0705a,69db00140fd9072aade0705a,73843f3fddac769b7a00f3088442b4d8,checked,34,female,english,english,english,No,Tennessee
69dea63201255d9c67959e1a,69dea63201255d9c67959e1a,7aec9a98b629a6fc0106ff480d7baa73,checked,21,female,english,english,english,N/A,FL
69e05ecc7c1f70dac92ea11c,69e05ecc7c1f70dac92ea11c,92d355b54852d10f1ac9318c0950e15c,checked,30,female,english,english,english,Spanish (conversational/can read at roughly a 6th-grade level),Minnesota
69e13450a28aabec01b675a4,69e13450a28aabec01b675a4,b9fe438f3ce04d8a5760f88f4e663bd1,checked,27,female,english,english,english,no,IL
69e3ac063dc0dd763f1d4611,69e3ac063dc0dd763f1d4611,38cd3375ec253c1c97b33e07c6b167bd,checked,28,woman,english,english,english,no,Illnois
69e428f57c4a2e4f94ab364a,69e428f57c4a2e4f94ab364a,9ca645253c5abd3c70508543daae6d55,checked,23,male,english,english,english,No,Georgia
69e4718194d6e0c89201c7f9,69e4718194d6e0c89201c7f9,e5d9618ba122ca6c980304d1d02cb017,checked,22,female,english,english,english,no,LA
69e8d8794cd2df8c1346c1e3,69e8d8794cd2df8c1346c1e3,db280abb69715e41f2dcd224eb2e3128,checked,25,female,english,english,english,A little Spanish and Italian,Arizona
69eebe53b9f5e39aa3ee6e3c,69eebe53b9f5e39aa3ee6e3c,ace241dd2c51540c165b763e87f06f9b,checked,28,female,english,english,english,No,Iowa
69ef7f22c7d65b937a595632,69ef7f22c7d65b937a595632,99f56ca10d06c4da6ac79f122ea915d6,checked,34,male,english,english,english,No,California
69fc816789592d3d23d7494f,69fc816789592d3d23d7494f,ebc8a99f08b62978ee088e232dfd91e2,checked,26,female,english,english,english,No,Nebraska
69fd3f1b53e0b11f0cec14bd,69fd3f1b53e0b11f0cec14bd,7fefc9348612632cc924dfff7db5812c,checked,24,male,english,english,english,None.,Oregon
69fea8cf381fcc475ae61556,69fea8cf381fcc475ae61556,2f007ba3035ee7b19ff19ce8cafd991e,checked,30,woman,english,english,english,No,Indiana
6a037907e97f0a8e7ae8a887,6a037907e97f0a8e7ae8a887,796d722a1383377fa26bb730d568e573,checked,35,female,english,english,english,No,Missouri
6a04e2a3538404f177aaf602,6a04e2a3538404f177aaf602,b2b06455c5f81cfedbec8d8da586194c,checked,32,female,english,english,english,No,New Mexico
6a06f4db52a0ec60bf8b9fe8,6a06f4db52a0ec60bf8b9fe8,0cbd42c880cb840a0fd5c3941f4344f1,checked,23,female,english,english,english,No,New York
6a0a200efdf95c93dce00159,6a0a200efdf95c93dce00159,a17c4de3fe4e1d37b81c8bc588992845,checked,33,male,english,english,english,no,Indiana
